"team","round","opponent","win"
"Bingham HM","Round 5","Logan TX",1
"Capital LL","Round 5","Sky View CS",1
"Copper Hills BT","Round 5","Brighton OR",0
"Eagle EE","Round 5","College Prep MH",0
"George Washington MK","Round 5","Renaissance DM",0
"Hillcrest OM","Round 5","GPS PK",1
"Juan Diego MP","Round 5","Sage Ridge KR",0
"Layton NL","Round 5","Kent Denver KK",0
"Lionel Wilson HS","Round 5","Capital HL",1
"Littleton LS","Round 5","Interlake GJ",0
"Rowland Hall DS","Round 5","West TG",0
"Rowland Hall NB","Round 5","Notre Dame AM",0
"Rowland Harker KS","Round 5","Lone Peak MK",0
"Skyline DZ","Round 5","Brighton TS",1
"SVDP PR","Round 5","Boise SV",0
"West MP","Round 5","Copper Hills LI",1
"Albuquerque AS","Round 5","Bingham SS",0
"Bingham SS","Round 5","Albuquerque AS",1
"Brighton OR","Round 5","Copper Hills BT",0
"Copper Hills LI","Round 5","West MP",0
"Juan Diego CS","Round 5","Boise ML",0
"Logan AC","Round 5","Denver Independent RW",0
"Lone Peak MK","Round 5","Rowland Hall KS",0
"Brighton TS","Round 5","Skyline DZ",0
"Capital HL","Round 5","Loinel Wilson HS",0
"Green River NW","Round 5","Eagle GW",0
"Boise DR","Round 5","Head Royce HW",0
"Bonneville LD","Round 5","Centennial HH",0
"Centennial HH","Round 5","Bonneville LD",0
"College Prep LN","Round 5","Copper Hills WL",0
"Eagle GW","Round 5","Green River NW",0
"GPS PK","Round 5","Hillcrest OM",0
"Head Royce HW","Round 5","Boise DR",0
"Logan JD","Round 5","OES GR",0
"Logan TX","Round 5","Bingham HM",0
"OES GR","Round 5","Logan JD",0
"Sky View CS","Round 5","Capital LL",0
"Brighton WJ","Round 5","Green River LL",0
"Green River BH","Round 5","Sky View MN",0
"Green River CR","Round 5","Kearns AP",0
"Green River LL","Round 5","Brighton WJ",0
"Green River MM","Round 5","Bye",0
"Kearns PA","Round 5","Green River CR",0
"Sky View MN","Round 5","Green River BH",0
"Head Royce PC","Round 6","Rowland Hall BL",1
"Rowland Hall LG","Round 6","Desert Vista LQ",1
"SVDP HM","Round 6","Skyline HL",1
"College Prep HS","Round 6","Rowland Hall BM",1
"Interlake DS","Round 6","Sky View ML",1
"Juan Diego AB","Round 6","Highland GO",1
"Juan Diego DM","Round 6","Kent Denver KK",1
"Meadows BN","Round 6","College Prep MR",1
"Notre Dame CF","Round 6","West BL",1
"Skyline HL","Round 6","SVDP HM",0
"Bingham WW","Round 6","Brighton OR",1
"Boise ML","Round 6","West MP",1
"College Prep MR","Round 6","Meadows BN",1
"Denver Independent RW","Round 6","Boise SV",1
"Desert Vista LQ","Round 6","Rowland Hall LG",0
"Eagle CW","Round 6","Sage Ridge KR",1
"George Washington AC","Round 6","Juan Diego CS",1
"Glenbrook North JK","Round 6","Lone Peak MK",1
"Glenbrook North LM","Round 6","OES GR",1
"Highland GO","Round 6","Juan Diego AB",0
"Interlake GJ","Round 6","Ingraham JK",1
"Interlake HY","Round 6","Juan Diego MP",1
"Interlake LL","Round 6","West TG",1
"Notre Dame AM","Round 6","College Prep HM",1
"Notre Dame He","Round 6","Centennial TW",1
"OES LJ","Round 6","Ingraham GW",1
"Renaissance DM","Round 6","Copper Hills WL",1
"Rowland Hall BL","Round 6","Head Royce PC",0
"Rowland Hall BM","Round 6","College Prep HS",1
"Sky View ML","Round 6","Interlake DS",0
"West BL","Round 6","Notre Dame CF",0
"College Prep CG","Round 6","Eagle GW",0
"Boise SV","Round 6","Denver Independent RW",0
"Centennial TW","Round 6","Notre Dame He",0
"College Prep HW","Round 6","Bingham SS",0
"College Prep MH","Round 6","Notre Dame AM",0
"Copper Hills WL","Round 6","Renaissance DM",0
"Ingraham GW","Round 6","OES LJ",0
"Ingraham JK","Round 6","Interlake GJ",0
"Kent Denver KK","Round 6","Juan Diego DM",0
"Sage Ridge KR","Round 6","Eagle CW",0
"West TG","Round 6","Interlake LL",0
"Centennial MX","Round 6","Rowland Harker KS",0
"Bingham HM","Round 6","Boise DR",0
"Capital LL","Round 6","George Washington MK",0
"Copper Hills BT","Round 6","Logan AC",0
"Eagle EE","Round 6","Littleton LS",0
"George Washington MK","Round 6","Capital LL",0
"Hillcrest OM","Round 6","Sky View MN",0
"Juan Diego MP","Round 6","Interlake HY",0
"Layton NL","Round 6","Rowland Hall DS",0
"Lionel Wilson HS","Round 6","Skyline DZ",0
"Littleton LS","Round 6","Eagle EE",0
"Rowland Hall DS","Round 6","Layton NL",0
"Rowland Hall NB","Round 6","College Prep LN",0
"Rowland Harker KS","Round 6","Centennial MX",0
"Skyline DZ","Round 6","Lionel Wilson HS",0
"SVDP PR","Round 6","Head Royce HW",0
"West MP","Round 6","Boise ML",0
"Albuquerque AS","Round 6","Bonneville LD",0
"Bingham SS","Round 6","College Prep HW",0
"Brighton OR","Round 6","Bingham WW",0
"Copper Hills LI","Round 6","Kearns PA",0
"Juan Diego CS","Round 6","George Washington AC",0
"Logan AC","Round 6","Copper Hills BT",0
"Lone Peak MK","Round 6","Glenbrook North JK",0
"Brighton TS","Round 6","Logan JD",0
"Capital HL","Round 6","Green River MM",0
"Green River NW","Round 6","Sky View CS",0
"Boise DR","Round 6","Bingham HM",0
"Bonneville LD","Round 6","Albuquerque AS",0
"Centennial HH","Round 6","Green River CR",0
"College Prep LN","Round 6","Rowland Hall NB",0
"Eagle GW","Round 6","College Prep CG",0
"GPS PK","Round 6","Green River BH",0
"Head Royce HW","Round 6","SVDP PR",0
"Logan JD","Round 6","Brighton TS",0
"Logan TX","Round 6","Green River LL",0
"OES GR","Round 6","Glenbrook North LM",0
"Sky View CS","Round 6","Green River NW",0
"Brighton WJ","Round 6","BYE",0
"Green River BH","Round 6","GPS PK",0
"Green River CR","Round 6","Centennial HH",0
"Green River LL","Round 6","Logan TX",0
"Green River MM","Round 6","Capital HL",0
"Kearns PA","Round 6","Copper Hills LI",0
"Sky View MN","Round 6","Hillcrest OM",0
