"team","round","opponent","win"
"Edina KE","Round 3","Glenbrook South SS",0
"Holy Cross SS","Round 3","Wayzata WG",0
"Kent Denver HM","Round 3","Northside CP KS",1
"Minneapolis South FN","Round 3","Wayzata AJ",0
"Niles West BS","Round 3","Wayzata AC",0
"Niles West CB","Round 3","Rosemount BS",1
"Northside CP KS","Round 3","Kent Denver HM",0
"Walter Payton PY","Round 3","Roseville Area CH",1
"Wayzata BH","Round 3","Groves GS",0
"Wayzata So","Round 3","Washburn HK",0
"Wayzata WG","Round 3","Holy Cross SS",1
"Appleton East MR","Round 3","Eagan GP",1
"Eagan GP","Round 3","Appleton East MR",0
"Eagan LQ","Round 3","Aberdeen Central RJ",0
"Glenbrook South RF","Round 3","Whitney Young SO",0
"Groves GM","Round 3","Asian Debate League CH",0
"Highland Park MT","Round 3","Glenbrook North FT",0
"Rosemount SF","Round 3","McDonogh NJ",0
"Roseville Area CH","Round 3","Walter Payton PY",0
"Bloomington AB","Round 3","Clovis North SM",0
"Rosemount BS","Round 3","Niles West CB",0
"Little Rock Central WW","Round 4","Glenbrook South CA",1
"Walter Payton BC","Round 4","Westminster DH",1
"Clovis North HP","Round 4","Edina CS",1
"East Kentwood BO","Round 4","Iowa City WZ",0
"Edgemont JM","Round 4","Niles West GG",1
"Highland Park BD","Round 4","Kent Denver HM",1
"Homewood-Flossmoor HL","Round 4","SPASH GM",1
"Peninsula TW","Round 4","Iowa City West BW",1
"Rowland Hall GL","Round 4","Niles West CB",1
"Westminster CK","Round 4","St Paul GS",1
"Centennial LP","Round 4","Glenbrook South CL",1
"Denver Arts School IH","Round 4","Wayzata DD",1
"Denver Independent RW","Round 4","WDMV HH",1
"Glenbrook North BL","Round 4","Iowa City West JW",1
"Glenbrook North CR","Round 4","Wayzata SH",1
"Glenbrook South CA","Round 4","Little Rock Central WW",0
"Glenbrook South RS","Round 4","Niles West SP",1
"Glenbrook South SS","Round 4","Berkeley Prep KY",1
"Iowa City West TR","Round 4","Washburn HK",1
"Iowa City WZ","Round 4","East Kentwood BO",1
"Lexington DC","Round 4","Roosevelt OP",1
"Lexington RZ","Round 4","Rowland Hall MB",0
"McDonogh NJ","Round 4","Edina WS",1
"New Trier BK","Round 4","Whitney Young FS",1
"Niles West GG","Round 4","Edgemont JM",0
"Peninsula JK","Round 4","Wayzata KS",1
"Traverse City Central CF","Round 4","Calhoun KF",1
"Westminster DH","Round 4","Walter Payton BC",0
"Whitney Young BF","Round 4","Iowa City KK",1
"Whitney Young RJ","Round 4","Brooklyn Independent EW",1
"Bloomington MW","Round 4","Wayzata MS",0
"Calhoun KF","Round 4","Traverse City Central CF",0
"Edina CS","Round 4","Clovis North HP",0
"Edina RL","Round 4","Greenhill WM",0
"Edina WS","Round 4","McDonogh NJ",0
"Encinitas WW","Round 4","Westminster CB",0
"Glenbrook North FT","Round 4","Wayzata WG",1
"Glenbrook South BK","Round 4","Sioux Falls Lincoln JH",1
"Glenbrook South CL","Round 4","Centennial LP",0
"Greenhill WM","Round 4","Edina RL",1
"Iowa City West BW","Round 4","Peninsula TW",0
"Lexington ML","Round 4","Minneapolis South FN",1
"Marist AV","Round 4","Walter Payton MS",1
"New Trier SH","Round 4","Glenbrook South PV",1
"Niles West NR","Round 4","Appleton East MR",1
"Niles West SP","Round 4","Glenbrook South RS",0
"Northside CP BE","Round 4","Clovis North SM",1
"Rowland Hall BL","Round 4","Roseville Area CH",1
"Rowland Hall MB","Round 4","Lexington RZ",1
"Sioux Falls Lincoln JH","Round 4","Glenbrook South BK",0
