"team","round","opponent","win"
"Polytechnic WX","Round 4","Green Valley SS",1
"Sky View LM","Round 4","Copper Hills MN",1
"West LP","Round 4","Desert Vista AG",1
"Albuquerque AS","Round 4","Polytechnic FD",1
"College Prep HW","Round 4","Robert McQueen RR",1
"College Prep MD","Round 4","Palo Verde QS",1
"Copper Hills BT","Round 4","Logan AC",1
"Copper Hills LW","Round 4","Brophy SS",0
"Kent Denver KK","Round 4","Damien MP",0
"Kent Denver MC","Round 4","BASIS Chandler KK",1
"La Cueva GH","Round 4","College Prep NL",1
"Lowell CL","Round 4","Cupertino AT",1
"McClintock GW","Round 4","Loyola CC",1
"Robert McQueen RR","Round 4","College Prep HW",0
"Salpointe Catholic MT","Round 4","Layton NL",1
"Bishop O'Dowd HJ","Round 4","BASIS Chandler BP",1
"Chandler AN","Round 4","Sky View CS",0
"College Prep NL","Round 4","La Cueva GH",0
"College Prep ZS","Round 4","Coronado RS",1
"Copper Hills MN","Round 4","Sky View LM",0
"Cupertino AT","Round 4","Lowell CL",0
"Desert Vista AG","Round 4","West LP",0
"Green Valley SS","Round 4","Polytechnic WX",0
"Hamilton SI","Round 4","Bingham WW",0
"La Cueva EJ","Round 4","West JL",1
"Layton NL","Round 4","Salpointe Catholic MT",0
"Los Alamos WZ","Round 4","Coronado HS",0
"Loyola CC","Round 4","McClintock GW",0
"Palo Verde QS","Round 4","College Prep MD",0
"Palo Verde SW","Round 4","College Prep CG",0
"Polytechnic FD","Round 4","Albuquerque AS",0
"Sky View CS","Round 4","Chandler AN",1
"BASIS Chandler BP","Round 4","Bishop O'Dowd HJ",0
"BASIS Chandler KK","Round 4","Kent Denver MC",0
"Coronado RS","Round 4","College Prep ZS",0
"Hamilton JK","Round 4","Damien AY",0
"Hamilton JR","Round 4","College Prep MR",0
"Juan Diego MP","Round 4","Hamilton VK",0
"Logan AC","Round 4","Copper Hills BT",0
"Los Alamos CP","Round 4","Lowell DZ",1
"Lowell DZ","Round 4","Los Alamos CP",0
"West JL","Round 4","La Cueva EJ",0
"Corona del Sol FZ","Round 4","BYE",0
"College Prep XK","Round 5","Brophy GS",1
"Loyola GT","Round 5","Sky View LM",1
"Brophy SS","Round 5","College Prep HW",1
"College Prep JM","Round 5","Damien MP",1
"College Prep TH","Round 5","La Cueva GH",1
"Damien JR","Round 5","Salpointe Catholic MT",1
"Green Valley SA","Round 5","Kent Denver MC",1
"Leland VV","Round 5","College Prep CG",1
"Polytechnic HM","Round 5","College Prep MD",1
"West AB","Round 5","McClintock GW",1
"Bingham SS","Round 5","Bishop O'Dowd HJ",1
"Bingham WW","Round 5","West LP",1
"Brophy GS","Round 5","College Prep XK",0
"Chandler CS","Round 5","Damien AY",1
"Chandler Prep FG","Round 5","College Prep NL",1
"College Prep CG","Round 5","Leland VV",0
"College Prep MR","Round 5","Los Alamos RW",1
"Coronado HS","Round 5","Albuquerque AS",1
"Damien AY","Round 5","Chandler CS",0
"Damien MP","Round 5","College Prep JM",0
"Desert Vista LQ","Round 5","Sky View CS",1
"Hamilton FZ","Round 5","Polytechnic WX",0
"Hamilton VK","Round 5","Copper Hills MN",1
"Los Alamos RW","Round 5","College Prep MR",0
"Polytechnic WX","Round 5","Hamilton FZ",1
"Sky View LM","Round 5","Loyola GT",0
"West LP","Round 5","Bingham WW",0
"Albuquerque AS","Round 5","Coronado HS",0
"College Prep HW","Round 5","Brophy SS",0
"College Prep MD","Round 5","Polytechnic HM",0
"Copper Hills BT","Round 5","Kent Denver KK",1
"Copper Hills LW","Round 5","Lowell CL",0
"Kent Denver KK","Round 5","Copper Hills BT",0
"Kent Denver MC","Round 5","Green Valley SA",0
"La Cueva GH","Round 5","College Prep TH",0
"Lowell CL","Round 5","Copper Hills LW",1
"McClintock GW","Round 5","West AB",0
"Robert McQueen RR","Round 5","Hamilton JR",1
"Salpointe Catholic MT","Round 5","Damien JR",0
"Bishop O'Dowd HJ","Round 5","Bingham SS",0
"Chandler AN","Round 5","Hamilton SI",0
"College Prep NL","Round 5","Chandler Prep FG",0
"College Prep ZS","Round 5","Palo Verde SW",1
"Copper Hills MN","Round 5","Hamilton VK",0
"Cupertino AT","Round 5","Layton NL",0
"Desert Vista AG","Round 5","Hamilton JK",1
"Green Valley SS","Round 5","Los Alamos CP",1
"Hamilton SI","Round 5","Chandler AN",1
"La Cueva EJ","Round 5","BASIS Chandler BP",1
"Layton NL","Round 5","Cupertino AT",1
"Los Alamos WZ","Round 5","Palo Verde QS",1
"Loyola CC","Round 5","Juan Diego MP",1
"Palo Verde QS","Round 5","Los Alamos W",0
"Palo Verde SW","Round 5","College Prep ZS",0
"Polytechnic FD","Round 5","Coronado RS",1
"Sky View CS","Round 5","Desert Vista LQ",0
"BASIS Chandler BP","Round 5","La Cueva EJ",0
"BASIS Chandler KK","Round 5","Lowell DZ",0
"Coronado RS","Round 5","Polytechnic FD",0
"Hamilton JK","Round 5","Desert Vista AG",0
"Hamilton JR","Round 5","Robert McQueen RR",0
"Juan Diego MP","Round 5","Loyola CC",0
"Logan AC","Round 5","West JL",1
"Los Alamos CP","Round 5","Green Valley SS",0
"Lowell DZ","Round 5","BASIS Chandler KK",1
"West JL","Round 5","Logan AC",0
"Corona del Sol FZ","Round 5","BYE",0
"College Prep XK","Round 6","Polytechnic WX",1
"Loyola GT","Round 6","College Prep MR",1
"Brophy SS","Round 6","College Prep JM",1
"College Prep JM","Round 6","Brophy SS",0
"College Prep TH","Round 6","Chandler CS",1
"Damien JR","Round 6","Bingham WW",1
"Green Valley SA","Round 6","College Prep MD",1
"Leland VV","Round 6","Damien MP",1
"Polytechnic HM","Round 6","College Prep HW",1
"West AB","Round 6","Brophy GS",1
"Bingham SS","Round 6","Los Alamos W",1
"Bingham WW","Round 6","Damien JR",0
"Brophy GS","Round 6","West AB",0
"Chandler CS","Round 6","College Prep TH",0
"Chandler Prep FG","Round 6","Copper Hills BT",1
"College Prep CG","Round 6","Salpointe Catholic MT",1
"College Prep MR","Round 6","Loyola GT",0
"Coronado HS","Round 6","McClintock GW",1
"Damien AY","Round 6","Sky View CS",1
"Damien MP","Round 6","Leland VV",0
"Desert Vista LQ","Round 6","Layton NL",1
"Hamilton FZ","Round 6","Desert Vista AG",1
"Hamilton VK","Round 6","La Cueva GH",1
"Los Alamos RW","Round 6","Lowell CL",1
"Polytechnic WX","Round 6","College Prep XK",0
"Sky View LM","Round 6","College Prep ZS",1
"West LP","Round 6","La Cueva EJ",1
"Albuquerque AS","Round 6","College Prep NL",1
