"team","round","opponent","win"
"College Prep HS","Round 4","Bingham WW",0
"Polytechnic WX","Round 4","Kent Denver KK",1
"Skyline AA","Round 4","Nevada Union MS",0
"St George's MV","Round 4","Brophy GS",1
"Harker SJ","Round 4","Salpoint Catholic MT",1
"Kent Denver MC","Round 4","SVDP HS",1
"Santa Margarita CW","Round 4","Notre Dame PP",1
"CK McClatchy LP","Round 4","West MP",1
"Notre Dame AM","Round 4","Chaminade AT",1
"Alpharetta CW","Round 4","BASIS Chandler KK",1
"La Cueva GH","Round 4","Harker HK",1
"BASIS Chandler KK","Round 4","Alpharetta CW",0
"Ingraham KT","Round 4","Nevada Union FH",0
"College Prep WZ","Round 4","West BA",0
"Dougherty Valley FF","Round 4","Highland GO",1
"Harker HK","Round 4","La Cueva GH",0
"Harker HS","Round 4","Leland DY",0
"Juan Diego CS","Round 4","Rowland Hall BL",0
"Kent Denver KK","Round 4","Polytechnic WX",0
"Polytechnic MH","Round 4","Damien JR",0
"West MP","Round 4","CK McClatchy LP",0
"Ingraham GW","Round 4","Rowland Hall MB",0
"Bingham SS","Round 4","Palo Verde WS",1
"Green Valley TS","Round 4","Harker BO",1
"Hamilton ZF","Round 4","Palo Verde RS",0
"Harker HW","Round 4","OES WS",1
"Harker OB","Round 4","Green Valley TS",0
"Loyola CC","Round 4","Highland JT",1
"OES LJ","Round 4","Notre Dame FR",0
"Palo Verde RS","Round 4","Hamilton ZF",1
"West BA","Round 4","College Prep WZ",1
"Centennial MX","Round 4","Damien AY",1
"Brophy GS","Round 4","St George's MV",0
"College Prep NP","Round 4","Rowland Hall BD",0
"Coronado HS","Round 4","Canyon Springs WA",1
"Damien AY","Round 4","Centennial MX",0
"Damien CJ","Round 4","Juan Diego PM",1
"Lynbrook MC","Round 4","Palo Verde SQ",0
"Lynbrook MK","Round 4","Juan Diego AB",0
"Notre Dame PP","Round 4","Santa Margarita CW",0
"OES MZ","Round 4","SVDP PR",0
"OES WS","Round 4","Harker HW",0
"Palo Verde QS","Round 4","Lynbrook MC",1
"Polytechnic DL","Round 4","College Prep DM",0
"Rowland Hall BD","Round 4","College Prep NP",1
"Rowland Hall DS","Round 4","Asian Debate League CC",1
"SVDP RP","Round 4","OES MZ",1
"Canyon Springs WA","Round 4","Coronado HS",0
"Centennial TW","Round 4","Asian Debate League CS",1
"Chaminade AT","Round 4","Notre Dame AM",0
"Salpointe Catholic MT","Round 4","Harker SJ",0
"Asian Debate League HH","Round 4","BYE",1
"Asian Debate League CS","Round 4","Centennial TW",0
"SVDP HS","Round 4","Kent Denver MC",0
"Asian Debate Leauge CH","Round 4","Coronado CR",1
"Palo Verde WS","Round 4","Bingham SS",0
"Asian Debate League CC","Round 4","Rowland Hall DS",0
"Coronado CR","Round 4","Asian Debate League CH",0
"Highland JT","Round 4","Loyola CC",0
"Juan Diego PM","Round 4","Damien CJ",0
"CK McClatchy BF","Round 5","Sage Ridge KR",1
"CK McClathcy HN","Round 5","Skyline HL",1
"Alpharetta KK","Round 5","SVDP PR",1
"Bellarmine AP","Round 5","Brophy SS",0
"Brophy SS","Round 5","Bellarmine AP",1
"Juan Diego AB","Round 5","CK McClatchy LP",1
"Rowland Hall LG","Round 5","Nevada Union MS",1
"Skyline HL","Round 5","CK McClatchy HN",0
"Damien MP","Round 5","Loyola GT",1
"Green Valley SA","Round 5","La Cueva GH",1
"College Prep DM","Round 5","Brophy SS",1
"Highland GO","Round 5","Leland VV",0
"Nevada Union FH","Round 5","Rowland Hall MB",0
"Nevada Union MS","Round 5","Rowland Hall LG",0
"Rowland Hall BL","Round 5","Lionel Wilson HS",0
"Rowland Hall MB","Round 5","Nevada Union FH",1
"Sage Ridge KR","Round 5","CK McClatchy BF",0
"Bingham WW","Round 5","Notre Dame FR",0
"Loyola GT","Round 5","Damien MP",0
"Damien JR","Round 5","St George's MV",1
"Juan Diego DM","Round 5","Alpharetta CW",1
"Leland DY","Round 5","Polytechnic WX",0
"Leland VV","Round 5","Highland GO",1
"Lionel Wilson HS","Round 5","Rowland Hall LB",1
"Notre Dame FR","Round 5","Bingham WW",1
"Bellarmine NP","Round 5","Palo Verde RS",1
"College Prep HS","Round 5","Ingraham KT",1
"Polytechnic WX","Round 5","Leland DY",1
"Skyline AA","Round 5","Green Valley TS",1
"St George's MV","Round 5","Damine JR",0
"Harker SJ","Round 5","Kent Denver KK",1
"Kent Denver MC","Round 5","Palo Verde QS",1
"Santa Margarita CW","Round 5","Rowland Hall BD",1
"CK McClatchy LP","Round 5","Juan Diego AB",0
"Notre Dame AM","Round 5","Polytechnic MH",0
"Alpharetta CW","Round 5","Juan Diego DM",0
"La Cueva GH","Round 5","Green Valley SA",0
"BASIS Chandler KK","Round 5","West MP",1
"Ingraham KT","Round 5","College Prep HS",0
"College Prep WZ","Round 5","Harker HW",0
"Dougherty Valley FF","Round 5","Juan Diego CS",1
"Harker HK","Round 5","Damien CJ",1
"Harker HS","Round 5","West BA",0
"Juan Diego CS","Round 5","Dougherty Valley FF",1
"Kent Denver KK","Round 5","Harker SJ",0
"Polytechnic MH","Round 5","Notre Dame AM",1
"West MP","Round 5","BASIS Chandler KK",0
"Ingraham GW","Round 5","OES MZ",1
"Bingham SS","Round 5","Rowland Hall DS",1
"Green Valley TS","Round 5","Skyline AA",0
"Hamilton ZF","Round 5","Notre Dame PP",1
"Harker HW","Round 5","College Prep WZ",1
"Harker OB","Round 5","OES WS",1
"Loyola CC","Round 5","Coronado HS",1
"OES LJ","Round 5","Coronado CR",1
"Palo Verde RS","Round 5","Bellarmine NP",0
"West BA","Round 5","Harker HS",1
"Centennial MX","Round 5","Asian Debate League CH",1
"Brophy GS","Round 5","College Prep DM",0
"College Prep NP","Round 5","SVDP HS",1
"Coronado HS","Round 5","Loyola CC",0
"Damien AY","Round 5","Centennial TW",1
"Damien CJ","Round 5","Harker HK",0
"Lynbrook MC","Round 5","Asian Debate League CS",1
"Lynbrook MK","Round 5","Polytechnic DL",1
"Notre Dame PP","Round 5","Hamilton ZF",0
"OES MZ","Round 5","Ingraham GW",0
"OES WS","Round 5","Harker OB",0
"Palo Verde QS","Round 5","Kent Denver MC",0
"Polytechnic DL","Round 5","Lynbrook MK",0
"Rowland Hall BD","Round 5","Santa Margarita CW",0
"Rowland Hall DS","Round 5","Bingham SS",0
"SVDP RP","Round 5","Alpharetta KK",0
"Canyon Springs WA","Round 5","Asian Debate League CC",1
"Centennial TW","Round 5","Damien AY",0
"Chaminade AT","Round 5","BYE",1
"Salpointe Catholic MT","Round 5","Juan Diego PM",1
