"team","round","opponent","win"
"Univers DF","Round 6","Ingraham GW",1
"CDA LW","Round 6","Ingraham TK",0
"Eagle CW","Round 6","SVDP RP",0
"Eagle HP","Round 6","Lewis and Clark PA",1
"Garfield RS","Round 6","St George's GC",1
"Glacier DR","Round 6","St George's DW",1
"Glacier MW","Round 6","Centennial MX",0
"Gonzaga Prep GM","Round 6","St George's DS",1
"Ingraham GW","Round 6","Univers DF",0
"Interlake GL","Round 6","OES GR",0
"Interlake RY","Round 6","Centennial TW",0
"Milpitas BP","Round 6","Ingraham KJ",0
"Nevada Union LM","Round 6","OES WS",0
"St George's BE","Round 6","Glacier MT",1
"CDA GS","Round 6","Ingraham BD",0
"Glacier MT","Round 6","St George's BE",0
"Lewis and Clark PA","Round 6","Eagle HP",0
"St George's GC","Round 6","Garfield RS",0
"Ferris HS","Round 6","OES MZ",0
"St George's AR","Round 6","Garfield PS",0
"St George's DS","Round 6","Gonzaga Prep GM",0
"St George's DW","Round 6","Glacier DR",0
