"","aff","aff_speaks","neg","neg_speaks","win"
"285","26930,27079",56,"26011,26010",55,"1"
"286","26673,24863",56.5,"27169,25493",56,"1"
"287","26654,24842",56.5,"26932,26139",57,"0"
"288","23156,26632",57.5,"26673,24863",57,"1"
"289","26490,26489",55,"23718,27108",56,"0"
"290","23394,23393",56,"15673,15672",55,"1"
"291","23518,26653",56.5,"26966,26963",57.5,"1"
"292","23818,23653",54,"26479,25805",56,"0"
"293","24681,16730",55,"24634,22824",55,"0"
"294","22818,26477",56,"25065,23755",53,"1"
"295","24213,16661",54,"25117,23155",55.5,"0"
"296","23389,23390",56,"25063,25068",56.5,"0"
"297","26932,26139",58,"26942,26944",55.5,"1"
"298","26940,26941",50,"26158,25092",52,"0"
"299","25202,25366",56,"24340,24286",54,"1"
"300","27057,23270",52.5,"27048,27049",55,"0"
"301","27169,25493",55,"23411,23412",55.5,"0"
"302","25093,26478",55,"23109,24114",54.5,"1"
"303","26936,26935",55,"25951,26969",55.5,"0"
"304","26380,27118",53,"27008,27004",52.5,"1"
"305","26184,27047",55,"26930,27079",55.5,"0"
"306","26011,26010",56.5,"27006,27005",54,"1"
"307","26934,26933",52,"26654,24842",53,"0"
"308","24296,26946",52,"25846,26138",54,"0"
"309","22818,26477",0,"23394,23393",0,"0"
"310","26011,26010",0,"26184,27047",0,"0"
"311","26932,26139",0,"26930,27079",0,"0"
"312","25063,25068",0,"23411,23412",0,"1"
"313","23156,26632",0,"23718,27108",0,"1"
"314","23109,24114",0,"25093,26478",0,"0"
"315","25202,25366",0,"24217,24218",0,"0"
"316","26673,24863",0,"23156,26632",0,"0"
"317","23394,23393",0,"25063,25068",0,"1"
"318","25951,26969",0,"26930,27079",0,"1"
"319","26184,27047",0,"26158,25092",0,"1"
"320","26184,27047",0,"25951,26969",0,"0"
"321","25093,26478",0,"24217,24218",0,"0"
"322","23394,23393",0,"23156,26632",0,"1"
"323","23191,23187",172,"24529,24697",177,"0"
"324","24875,25273",181,"26995,26996",173,"1"
"325","9330,22651",183,"22927,26591",172,"1"
"326","22709,22710",181,"24383,15683",173,"1"
"327","24572,15498",180,"24851,23061",174,"1"
"328","18822,24546",141,"15573,15569",183,"0"
"329","26499,26501",171,"24500,24498",172,"1"
"330","26659,26658",183,"24912,26575",186,"0"
"331","24495,22804",175,"8149,8150",175,"0"
"332","23099,16397",160,"15686,22959",160,"1"
"333","26608,26609",160,"26443,24548",148,"1"
"334","23171,23572",100,"22853,24605",180,"0"
"335","26557,26558",172,"24777,15688",180,"0"
"336","26660,26661",145,"26450,8197",171,"0"
"337","15481,16685",185,"26604,26603",163,"1"
"338","23300,23293",164,"15543,22752",172,"0"
"339","24913,15551",174,"22802,139",182,"0"
"340","24819,26684",175,"26495,25817",175,"0"
"341","24775,26589",175,"16395,26674",167,"1"
"342","15453,24559",178,"23583,18234",169,"1"
"343","26656,26657",169,"22844,15652",182,"0"
"344","26912,26913",178,"26993,26994",174,"1"
"345","25275,25648",171,"27061,27144",161,"1"
"346","26512,25835",169,"26856,26855",171,"1"
"347","26860,26859",171,"26526,26506",170,"1"
"348","26908,26909",168,"26508,26198",170,"0"
"349","26853,26854",177,"26917,26916",176,"1"
"350","24079,25279",164,"25226,27107",167,"0"
"351","26583,25749",148,"26918,26919",152,"0"
"352","25342,25340",171,"26806,26807",179,"0"
"353","26858,26857",177,"27105,27143",173,"1"
"354","26698,25263",169,"24830,24820",173,"0"
"355","24828,24823",165,"27029,27028",163,"1"
"356","26567,24574",178,"24835,23190",176,"1"
"357","24921,26515",174,"26586,24937",184,"0"
"358","23183,23189",176,"25303,24900",170,"1"
"359","24649,26550",182,"22997,24856",167,"1"
"360","26585,24852",173,"26997,25934",167,"1"
"361","23487,26852",180,"26439,26440",170,"1"
"362","26914,26915",168,"26991,26992",149,"1"
"363","17115,26525",180,"16210,15591",182,"0"
"364","23315,18878",174,"24601,24599",175,"0"
"365","23314,23367",169,"15711,15716",162,"1"
"366","26444,24547",173,"26740,24886",169,"0"
"367","24677,26511",168,"26482,24596",166,"1"
"368","22768,26553",160,"26497,26498",168,"0"
"369","24676,15566",179,"22921,24773",176,"1"
"370","22846,15615",181,"22775,15448",176,"1"
"371","23297,24872",177,"22714,15439",178,"0"
"372","16884,15639",182,"26438,15446",178,"0"
"373","24791,24790",181,"16216,24593",174,"1"
"374","24496,22806",171,"22935,24850",170,"1"
"375","24502,24501",159,"22852,18230",165,"0"
"376","26599,26600",173,"26598,26597",167,"1"
"377","22803,26551",173,"15703,26683",171,"1"
"378","24606,24604",177,"24778,26588",173,"1"
"379","24372,22851",170,"24510,15513",165,"1"
"380","15568,26559",170,"23357,23355",166,"1"
"381","24637,22713",177,"22916,22917",177,"0"
"382","24722,24725",179,"22783,25211",168,"1"
"383","24552,24554",178,"24901,26191",175,"1"
"384","23022,23023",184,"24750,26826",160,"1"
"385","24506,24507",174,"9112,15786",180,"0"
"386","26534,26533",164,"14775,10423",180,"0"
"387","26590,24779",166,"16444,16445",170,"0"
"388","22856,24515",176,"15730,15729",169,"1"
"389","15785,15788",183,"24758,26539",174,"0"
"390","24776,24774",173,"22918,25531",175,"0"
"391","26445,24632",178,"26601,26602",176,"1"
"392","23173,16392",175,"23093,26531",175,"0"
"393","24595,26467",181,"22922,22925",183,"0"
"394","14840,23136",186,"24514,24512",185.5,"1"
"395","26594,26593",176,"24695,15704",170,"1"
"396","15685,22923",178,"23415,24792",168,"1"
"397","24586,26655",172,"26560,24678",168,"1"
"398","15707,26535",178,"15563,8160",174,"1"
"399","22711,15747",186,"23172,9329",181,"1"
"400","22778,24573",158,"24911,26576",155,"0"
"401","25207,25877",177,"26579,26578",182,"0"
"402","26726,24592",178,"23088,23087",185,"0"
"403","15581,24727",184,"16442,16446",177,"1"
"404","24499,26552",171,"22727,22724",174,"0"
"405","16835,15589",171,"26580,26581",161,"1"
"406","22920,22919",185,"24556,16456",175,"1"
"407","15543,22752",167,"16884,15639",172,"1"
"408","26450,8197",181,"24496,22806",162,"1"
"409","24529,24697",166,"26599,26600",170,"0"
"410","22844,15652",184,"9330,22651",175,"1"
"411","24912,26575",179,"24372,22851",173,"1"
"412","26495,25817",163,"22846,15615",184,"0"
"413","24383,15683",170,"23022,23023",177,"0"
"414","26601,26602",169,"24499,26552",167,"1"
"415","26439,26440",178,"25342,25340",172,"1"
"416","15573,15569",195.5,"24502,24501",163,"1"
"417","26579,26578",178,"14840,23136",184,"0"
"418","23583,18234",169,"22768,26553",173,"0"
"419","22916,22917",189,"26444,24547",179,"1"
"420","14775,10423",176,"26590,24779",175,"1"
"421","22922,22925",180,"26726,24592",180,"1"
"422","24695,15704",177.5,"22778,24573",173,"1"
"423","24556,16456",177,"15707,26535",186,"0"
"424","25303,24900",160,"24079,25279",170,"0"
"425","23172,9329",180,"15685,22923",182,"0"
"426","26580,26581",179,"23315,18878",183,"0"
"427","26508,26198",180,"25275,25648",170,"1"
"428","16442,16446",175,"23173,16392",173,"1"
"429","24830,24820",180,"26567,24574",188,"0"
"430","26526,26506",175,"26910,26911",174,"0"
"431","27061,27144",173,"26914,26915",179,"0"
"432","26991,26992",174,"26912,26913",174,"0"
"433","26993,26994",171,"26512,25835",176,"0"
"434","26918,26919",174,"26853,26854",172,"1"
"435","26917,26916",174,"26858,26857",174,"0"
"436","24826,24838",174,"24649,26550",177,"0"
"437","26856,26855",186,"26908,26909",188,"0"
"438","24901,26191",176,"23487,26852",180,"0"
"439","24835,23190",174,"24552,24554",177,"0"
"440","26586,24937",169,"26585,24852",165,"1"
"441","22997,24856",162,"23171,23572",160,"1"
"442","22853,24605",187,"24828,24823",174,"1"
"443","27029,27028",180,"23183,23189",186,"0"
"444","26995,26996",172,"26698,25263",179,"0"
"445","25226,27107",176,"24921,26515",174,"1"
"446","26806,26807",172,"24875,25273",172,"1"
"447","27105,27143",170,"26860,26859",172,"0"
"448","26497,26498",166,"15453,24559",181,"0"
"449","22918,25531",177,"24586,26655",174,"1"
"450","23093,26531",185,"15581,24727",189,"0"
"451","24514,24512",177,"25207,25877",171,"1"
"452","23415,24792",170,"22711,15747",178,"0"
"453","15563,8160",175,"22920,22919",186,"0"
"454","24911,26576",149,"26594,26593",174,"0"
"455","23088,23087",189,"24595,26467",174,"1"
"456","22727,22724",176,"26445,24632",176,"0"
"457","16444,16445",180,"26534,26533",184,"0"
"458","15730,15729",161,"24791,24790",172,"0"
"459","26740,24886",171,"24637,22713",179,"0"
"460","24750,26826",165,"18822,24546",169,"0"
"461","22775,15448",190,"24819,26684",170,"1"
"462","26438,15446",190,"23300,23293",175,"1"
"463","22935,24850",158,"26660,26661",158,"1"
"464","26598,26597",177,"23191,23187",170,"1"
"465","24510,15513",179,"26656,26657",168,"1"
"466","22852,18230",179,"26659,26658",153,"1"
"467","26560,24678",173,"24776,24774",177,"0"
"468","24601,24599",177,"16835,15589",170,"1"
"469","24778,26588",175,"24495,22804",176,"0"
"470","15711,15716",178,"15785,15788",175,"1"
"471","16216,24593",178,"22856,24515",180,"0"
"472","22921,24773",182,"23099,16397",174,"1"
"473","22714,15439",179,"24913,15551",178,"1"
"474","9112,15786",184,"15481,16685",186,"0"
