"team","round","opponent","win"
"Strath Haven GM","Round 5","Skyline HL",0
"Rowland Hall GL","Round 6","Damien MP",1
"St. Mark's KP","Round 6","Montgomery Bell KR",1
"Carrollton CP","Round 6","Wayzata JM",1
"Glenbrook South CA","Round 6","Notre Dame CP",1
"Glenbrook South SR","Round 6","Peninsula TW",0
"New Trier BK","Round 6","Little Rock Central WW",1
"Peninsula TW","Round 6","Glenbrook South SR",1
"Blake NW","Round 6","Westminster KD",1
"Blake SW","Round 6","Jesuit CP BR",1
"Carrollton GB","Round 6","New Trier DS",1
"Damien MP","Round 6","Rowland Hall GL",0
"East Kentwood BO","Round 6","Harker HW",1
"Greenhill KS","Round 6","BVSW ZF",1
"Highland Park (MN) BD","Round 6","Kapaun Mt. Carmel HE",1
"Law Magnet GT","Round 6","Westminster CK",1
"Little Rock Central WW","Round 6","New Trier BK",0
"Marist AV","Round 6","New Trier BW",1
"Montgomery Bell KR","Round 6","St. Mark's KP",0
"Notre Dame CP","Round 6","Glenbrook South CA",0
"Notre Dame FR","Round 6","BVSW LH",1
"Pace FA","Round 6","Woodward AH",1
"St. Mark's GW","Round 6","Midway CH",1
"University BM","Round 6","Jesuit CP HL",1
"Wayzata JM","Round 6","Carrollton CP",0
"Westminster CK","Round 6","Law Magnet GT",0
"BVSW LH","Round 6","Notre Dame FR",0
"BVSW ZF","Round 6","Greenhill KS",0
"Jesuit CP BR","Round 6","Blake SW",0
"Jesuit CP HL","Round 6","University BM",0
"New Trier BW","Round 6","Marist AV",0
"New Trier DS","Round 6","Carrollton GB",0
"Niles West GG","Round 6","Westminster CB",1
"Westminster KD","Round 6","Blake NW",0
"Woodward AH","Round 6","Pace FA",0
"Damien JR","Round 6","Skyline HL",1
"Harker SH","Round 6","Woodward AS",1
"HoFlo HL","Round 6","Harker SJ",1
"Montgomery Bell GJ","Round 6","Calhoun BF",1
"Niles North BB","Round 6","Lexington ML",1
"Niles North WM","Round 6","Bishop Guertin KV",1
"Westminster RD","Round 6","Lionel Wilson HS",1
"Woodward PB","Round 6","Rowland Hall BB",1
"Westminster CB","Round 6","Niles West GG",0
"Bishop Guertin KV","Round 6","Niles North WM",0
"Calhoun BF","Round 6","Montgomery Bell GJ",0
"Harker HW","Round 6","East Kentwood BO",0
"Harker SJ","Round 6","HoFlo HL",0
"Kapaun Mt. Carmel HE","Round 6","Highland Park (MN) BD",0
"Lexington ML","Round 6","Niles North BB",0
"Niles West TB","Round 6","Berkeley Prep SS",0
"Rowland Hall BB","Round 6","Woodward PB",0
"Woodward AS","Round 6","Harker SH",0
"Lionel Wilson HS","Round 6","Westminster RD",0
"Berkeley Prep MY","Round 6","Midway KK",1
"Highland Park (TX) CM","Round 6","Georgetown Day BQ",1
"Jesuit CP LV","Round 6","Carrollton FP",1
"Midway CH","Round 6","St. Mark's GW",1
"Berkeley Prep SS","Round 6","Niles West TB",0
"Carrollton FP","Round 6","Jesuit CP LV",0
"Georgetown Day BQ","Round 6","Highland Park (TX) CM",0
"Georgetown Day SK","Round 6","Wayzata KS",0
"Midway KK","Round 6","Berkeley Prep MY",0
"Skyline AA","Round 6","Niles North CL",0
"Skyline HL","Round 6","Damien JR",0
"Wayzata KS","Round 6","Georgetown Day SK",0
"Berkner RD","Round 6","Strath Haven GM",0
"Niles North CL","Round 6","Skyline AA",0
"Strath Haven GM","Round 6","Berkner RD",0
