"team","round","opponent","win"
"Cherry Creek HS","Round 3","Oak Hill RT",1
"College Prep DH","Round 3","Evergreen AC",1
"College Prep HW","Round 3","Orosi PR",1
"College Prep JM","Round 3","Whitney Young FB",0
"College Prep TC","Round 3","Leland IC",1
"Coppell CD","Round 3","New Trier BW",0
"Coronado HS","Round 3","Isidore Newman FL",0
"Cypress Bay HK","Round 3","Highland GO",0
"Cypress Bay VS","Round 3","Denver East MM",0
"Encinitas WW","Round 3","Jesuit Prep HL",1
"Evergreen AC","Round 3","College Prep DH",0
"G. Washington AC","Round 3","Loyola CZ",1
"Hamilton ZF","Round 3","Crosby FM",1
"Harker HS","Round 3","Heritage Hall DV",1
"Harker JS","Round 3","Cypress Bay KK",1
"Harker KH","Round 3","OES JL",1
"Harker WH","Round 3","Garfield CZ",0
"Head Royce DL","Round 3","Bingham WW",1
"Interlake GL","Round 3","Calhoun KS",0
"Interlake LL","Round 3","SVDP HM",0
"Interlake YH","Round 3","University Fresno HT",1
"Isidore Newman FL","Round 3","Coronado HS",1
"Kent Denver CC","Round 3","College Prep NP",1
"Kent Denver MM","Round 3","Nevada Union FH",0
"Leland JJ","Round 3","Polytechnic DL",0
"Lindale DW","Round 3","Centennial LP",0
"Little Rock AD","Round 3","Whitney Young RJ",0
"Little Rock JJ","Round 3","Juan Diego DM",0
"Little Rock WW","Round 3","University Fresno BS",1
"Loyola CZ","Round 3","GW AC",0
"Nevada Union FH","Round 3","Kent Denver MM",1
"New Trier BY","Round 3","Chandler CS",0
"New Trier CS","Round 3","St George's MV",0
"New Trier DS","Round 3","Reno BH",1
"New Trier GT","Round 3","Lionel Wilson HS",0
"Niles West BS","Round 3","Greenhill MW",0
"Niles West RN","Round 3","Lowell DZ",1
"Niles West SB","Round 3","Loyola GT",1
"Notre Dame AM","Round 3","USN MR",1
"Notre Dame PP","Round 3","Juan Diego AB",0
"Oak Hill RT","Round 3","Cherry Creek HS",0
"Oakland Tech PT","Round 3","Rowland Hall LG",0
"OES GR","Round 3","Notre Dame LH",1
"Sage Ridge KR","Round 3","James Logan SB",1
"St George's MV","Round 3","New Trier CS",1
"St. Francis GL","Round 3","Dougherty Valley FF",0
"SVDP PR","Round 3","Interlake RY",1
"Alliance Stern AV","Round 3","Loyola CC",1
"Ashland DB","Round 3","Littleton LS",0
"Barstow FN","Round 3","Brophy SS",0
"Beckman CC","Round 3","Sonoma VK",1
"Bingham KW","Round 3","Damien HB",0
"Brophy SG","Round 3","Chaminade TA",1
"Canyon Crest RT","Round 3","Cupertino AT",1
"Chaminade CR","Round 3","Delta Charter QS",1
"Chaminade TA","Round 3","Brophy SG",0
"Cherry Creek GL","Round 3","Bingham SS",0
"Clovis North SM","Round 3","Sonoma GK",0
"College Prep NP","Round 3","Kent Denver CC",0
"Crosby FM","Round 3","Hamilton ZF",0
"Damien AY","Round 3","Peninsula JK",0
"Damien CJ","Round 3","Leland YD",0
"Damien HB","Round 3","Bingham KW",1
"Denver East YO","Round 3","Cypress Bay FM",0
"Dougherty Valley FF","Round 3","St. Francis GL",1
"Fairview KW","Round 3","Garfield SR",0
"Fairview LL","Round 3","Bingham HM",0
"Garfield CZ","Round 3","Harker WH",1
"Garfield PR","Round 3","Head Royce CP",0
"Garfield SR","Round 3","Fairview KW",1
"Harker BO","Round 3","Clovis North PH",0
"Harker RS","Round 3","Peninsula MS",1
"Head Royce MW","Round 3","University Fresno SW",1
"Head Royce SH","Round 3","Lowell BC",1
"Henry W. Grady CW","Round 3","Leland VV",1
"Interlake CW","Round 3","New Trier BK",0
"Interlake RY","Round 3","SVDP PR",0
"James Logan SB","Round 3","Sage Ridge KR",0
"Kent Denver HC","Round 3","Cypress Bay VSX",0
"LA SP","Round 3","Lynbrook MC",1
