"team","round","opponent","win"
"Interlake GJ","Round 6","Katy Taylor BI",1
"Iowa City West TR","Round 6","CK McClatchy HN",1
"Iowa City WZ","Round 6","Loyola GT",0
"Lane Tech VH","Round 6","LASA MS",1
"LASA CM","Round 6","Glenbrook South CA",1
"Law Magnet GT","Round 6","Bellarmine PA",1
"Montgomery Bell CJ","Round 6","Head Royce PC",0
"New Trier BW","Round 6","Walter Payton BC",1
"Notre Dame CP","Round 6","GBN BL",1
"SVDP HM","Round 6","College Prep KX",0
"University Prep CM","Round 6","Westminster CK",1
"Walter Payton BC","Round 6","New Trier BW",0
"Wayzata JM","Round 6","University BM",0
"GBN BL","Round 6","Notre Dame CP",0
"Alpharetta KK","Round 6","Damien MP",1
"Austin SFA EO","Round 6","Skyline HL",1
"BCC EY","Round 6","Milton FM",1
"Carrollton CP","Round 6","Polytechnic WX",1
"CK McClatchy HN","Round 6","Iowa City West TR",0
"College Prep JM","Round 6","Millard North SB",1
"Denver East RW","Round 6","Meadows BN",1
"GBN LM","Round 6","Little Rock WW",0
"Glenbrook South CA","Round 6","LASA CM",0
"HoFlo HL","Round 6","Rowland Hall GL",0
"Katy Taylor AL","Round 6","Millard North HK",0
"La Costa Canyon YM","Round 6","Greenhill KS",1
"Loyola GT","Round 6","Iowa City WZ",1
"McDonogh JN","Round 6","GBN CR",0
"Milton HH","Round 6","Kinkaid RR",1
"Reagan RX","Round 6","BCC ID",1
"S. Eugene LS","Round 6","Juan Diego AB",1
"University BM","Round 6","Wayzata JM",1
"Westminster CB","Round 6","Montgomery Bell KR",0
"Westminster CK","Round 6","University Prep CM",0
"Whitney Young FB","Round 6","Brooklyn Tech CQ",1
"Whitney Young JR","Round 6","Edgemont JM",0
"Bellarmine PA","Round 6","Law Magnet TG",0
"Brooklyn Tech CQ","Round 6","Whitney Young FB",0
"Greenhill KS","Round 6","La Costa Canyon YM",0
"Juan Diego AB","Round 6","S. Eugene LS",0
"Katy Taylor BI","Round 6","Interlake GJ",0
"Kinkaid RR","Round 6","Milton HH",0
"LASA MS","Round 6","Lane Tech VH",0
"Meadows BN","Round 6","Denver East RW",0
"Millard North HK","Round 6","Katy Taylor AL",1
"Polytechnic WX","Round 6","Carrollton CP",0
"BCC ID","Round 6","Reagan RX",0
"Damien MP","Round 6","Alpharetta KK",0
"Millard North SB","Round 6","College Prep JM",0
"Milton FM","Round 6","BCC EY",0
"Skyline HL","Round 6","Austin SFA EO",0
"UC Lab CR","Round 6","BYE",1
"Highland Park BD","Round 7","Little Rock WW",1
"Blake SW","Round 7","Iowa City West TR",1
"GBN JT","Round 7","Law Magnet GJ",1
"Glenbrook South RS","Round 7","Niles West GG",1
"Peninsula TW","Round 7","College Prep KX",1
"Rowland Hall GL","Round 7","Edgemont JM",1
"Bronx Science GM","Round 7","Head Royce PC",1
"College Prep KX","Round 7","Peninsula TW",0
"Edgemont JM","Round 7","Rowland Hall GL",0
"GBN CR","Round 7","Clovis North HP",1
"Hendrickson WW","Round 7","New Trier BW",1
"Law Magnet GJ","Round 7","GBN JT",0
"Little Rock WW","Round 7","Highland Park BD",0
"Maine East PS","Round 7","Reagan RX",1
"Montgomery Bell KR","Round 7","Interlake GJ",1
"New Trier BK","Round 7","LASA CM",1
"Niles West GG","Round 7","Glenbrook South RS",0
"Westminster DH","Round 7","University Prep CM",1
"Blake NW","Round 7","GBN LM",1
"CK McClatchy FB","Round 7","Austin SFA EO",1
"Clovis North HP","Round 7","GBN CR",0
"East Kentwood BO","Round 7","Whitney Young FB",1
"Head Royce PC","Round 7","Bronx Science GM",0
"Interlake GJ","Round 7","Montgomery Bell KR",0
"Iowa City West TR","Round 7","Blake SW",0
"Iowa City WZ","Round 7","Milton HH",1
"Lane Tech VH","Round 7","La Costa Canyon MY",1
"LASA CM","Round 7","New Trier BK",0
"Law Magnet GT","Round 7","Westminster CK",1
"Montgomery Bell CJ","Round 7","Whitney Young JR",1
"New Trier BW","Round 7","Hendrickson WW",0
"Notre Dame CP","Round 7","HoFlo HL",1
"SVDP HM","Round 7","S. Eugene LS",1
"University Prep CM","Round 7","Westminster DH",0
"Walter Payton BC","Round 7","Loyola GT",1
"Wayzata JM","Round 7","Westminster CB",1
"GBN BL","Round 7","Polytechnic WX",1
"Alpharetta KK","Round 7","Carrollton CP",1
"Austin SFA EO","Round 7","CK McClatchy BF",0
"BCC EY","Round 7","Millard North HK",1
"Carrollton CP","Round 7","Alpharetta KK",0
"CK McClatchy HN","Round 7","Katy Taylor BI",1
"College Prep JM","Round 7","Greenhill KS",1
"Denver East RW","Round 7","Milton FM",1
"GBN LM","Round 7","Blake NW",0
"Glenbrook South CA","Round 7","University BM",0
"HoFlo HL","Round 7","Notre Dame CP",0
"Katy Taylor AL","Round 7","Juan Diego AB",1
"La Costa Canyon YM","Round 7","Lane Tech VH",0
"Loyola GT","Round 7","Walter Payton BC",0
"McDonogh JN","Round 7","Kinkaid RR",1
"Milton HH","Round 7","Iowa City WZ",0
"Reagan RX","Round 7","Maine East PS",0
"S. Eugene LS","Round 7","SVDP HM",0
"University BM","Round 7","Glenbrook South CA",0
"Westminster CB","Round 7","Wayzata JM",0
"Westminster CK","Round 7","Law Magnet GT",0
"Whitney Young FB","Round 7","East Kentwood BO",0
"Whitney Young JR","Round 7","Montgomery Bell CJ",0
"Bellarmine PA","Round 7","Skyline HL",1
"Brooklyn Tech CQ","Round 7","BCC ID",1
"Greenhill KS","Round 7","College Prep JM",0
